ISO3,National Unit,Name,Admin Level,Metric,Units,Year,Value
"MDG","Madagascar","Alaotra Mangoro","admin1","Mortality Rate","Deaths per 100 Thousand",2016,27.974500000000003
"MDG","Madagascar","Analanjirofo","admin1","Incidence Rate","Cases per Thousand",2016,68.1108871512482
"MDG","Madagascar","Analanjirofo","admin1","Mortality Rate","Deaths per 100 Thousand",2016,106.9077
"MDG","Madagascar","Atsinanana","admin1","Incidence Rate","Cases per Thousand",2016,98.8717331828554
"MDG","Madagascar","Atsinanana","admin1","Mortality Rate","Deaths per 100 Thousand",2016,46.3105
"MDG","Madagascar","Androy","admin1","Incidence Rate","Cases per Thousand",2016,51.3837527537927
"MDG","Madagascar","Androy","admin1","Mortality Rate","Deaths per 100 Thousand",2016,41.4714
"MDG","Madagascar","Anosy","admin1","Incidence Rate","Cases per Thousand",2016,107.66353722996
"MDG","Madagascar","Anosy","admin1","Mortality Rate","Deaths per 100 Thousand",2016,35.5001
"MDG","Madagascar","Atsimo Andrefana","admin1","Incidence Rate","Cases per Thousand",2016,197.354921060114
"MDG","Madagascar","Atsimo Andrefana","admin1","Mortality Rate","Deaths per 100 Thousand",2016,32.9515
"MDG","Madagascar","Menabe","admin1","Incidence Rate","Cases per Thousand",2016,100.786712455167
"MDG","Madagascar","Menabe","admin1","Mortality Rate","Deaths per 100 Thousand",2016,55.5569
"NPL","Nepal","Bagmati","admin1","Incidence Rate","Cases per Thousand",2016,0.000212197904556273
"NPL","Nepal","Bagmati","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.000183
"NPL","Nepal","Karnali","admin1","Incidence Rate","Cases per Thousand",2016,0.0024450860802788
"NPL","Nepal","Karnali","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.00193
"NPL","Nepal","Gandaki","admin1","Incidence Rate","Cases per Thousand",2016,0.00186568880584628
"NPL","Nepal","Gandaki","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.00154
"NPL","Nepal","Lumbini","admin1","Incidence Rate","Cases per Thousand",2016,0.0146345019294224
"NPL","Nepal","Lumbini","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.0115
"NGA","Nigeria","Edo","admin1","Incidence Rate","Cases per Thousand",2016,235.367384830091
"NGA","Nigeria","Edo","admin1","Mortality Rate","Deaths per 100 Thousand",2016,106.6369
"KEN","Kenya","Garissa","admin1","Incidence Rate","Cases per Thousand",2016,30.1912411907193
"KEN","Kenya","Garissa","admin1","Mortality Rate","Deaths per 100 Thousand",2016,3.67
"SDN","Sudan","North Darfur","admin1","Incidence Rate","Cases per Thousand",2016,65.03578915742649
"SDN","Sudan","North Darfur","admin1","Mortality Rate","Deaths per 100 Thousand",2016,7.56
"SLV","El Salvador","Usulutan","admin1","Incidence Rate","Cases per Thousand",2016,0
"SLV","El Salvador","Usulutan","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"VNM","Vietnam","An Giang","admin1","Incidence Rate","Cases per Thousand",2016,0.00626629694991037
"VNM","Vietnam","An Giang","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.00255
"DZA","Algeria","Laghouat","admin1","Incidence Rate","Cases per Thousand",2016,0
"DZA","Algeria","Laghouat","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"PER","Peru","Ucayali","admin1","Incidence Rate","Cases per Thousand",2016,0.297137269075476
"PER","Peru","Ucayali","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.09879999999999999
"MYT","Mayotte","Pamandzi","admin1","Incidence Rate","Cases per Thousand",2016,0
"MYT","Mayotte","Pamandzi","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"COG","Congo","Sangha","admin1","Incidence Rate","Cases per Thousand",2016,302.56993022952
"COG","Congo","Sangha","admin1","Mortality Rate","Deaths per 100 Thousand",2016,54.1848
"KOR","South Korea","Ulsan","admin1","Incidence Rate","Cases per Thousand",2016,0
"KOR","South Korea","Ulsan","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"PRY","Paraguay","Itapua","admin1","Incidence Rate","Cases per Thousand",2016,0
"PRY","Paraguay","Itapua","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"GTM","Guatemala","Sacatepequez","admin1","Incidence Rate","Cases per Thousand",2016,0
"GTM","Guatemala","Sacatepequez","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"DZA","Algeria","Batna","admin1","Incidence Rate","Cases per Thousand",2016,0
"DZA","Algeria","Batna","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"TUR","Turkey","Edirne","admin1","Incidence Rate","Cases per Thousand",2016,0
"TUR","Turkey","Edirne","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"VNM","Vietnam","Vinh Long","admin1","Incidence Rate","Cases per Thousand",2016,0.0020398915096232198
"VNM","Vietnam","Vinh Long","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.000821
"OMN","Oman","Al Wusta","admin1","Incidence Rate","Cases per Thousand",2016,0.0007639109857529511
"OMN","Oman","Al Wusta","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.00015
"HND","Honduras","Islas de La Bahia","admin1","Incidence Rate","Cases per Thousand",2016,0.286384380450089
"HND","Honduras","Islas de La Bahia","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.0454
"ZAF","South Africa","Northern Cape","admin1","Incidence Rate","Cases per Thousand",2016,0
"ZAF","South Africa","Northern Cape","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"TUR","Turkey","Yalova","admin1","Incidence Rate","Cases per Thousand",2016,0
"TUR","Turkey","Yalova","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"TUR","Turkey","Bayburt","admin1","Incidence Rate","Cases per Thousand",2016,0
"TUR","Turkey","Bayburt","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"YEM","Yemen","Hadramaut","admin1","Incidence Rate","Cases per Thousand",2016,29.6649186341518
"YEM","Yemen","Hadramaut","admin1","Mortality Rate","Deaths per 100 Thousand",2016,18.6358
"PER","Peru","Tacna","admin1","Incidence Rate","Cases per Thousand",2016,0.0000144965190330482
"PER","Peru","Tacna","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.00000534
"LAO","Laos","Champasack","admin1","Incidence Rate","Cases per Thousand",2016,10.2005347808271
"LAO","Laos","Champasack","admin1","Mortality Rate","Deaths per 100 Thousand",2016,2.29
"KHM","Cambodia","Ratanak Kiri","admin1","Incidence Rate","Cases per Thousand",2016,18.3548628457328
"KHM","Cambodia","Ratanak Kiri","admin1","Mortality Rate","Deaths per 100 Thousand",2016,5.57
"MYS","Malaysia","Perlis","admin1","Incidence Rate","Cases per Thousand",2016,0
"MYS","Malaysia","Perlis","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"SAU","Saudi Arabia","Makkah","admin1","Incidence Rate","Cases per Thousand",2016,0.00832967821891091
"SAU","Saudi Arabia","Makkah","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.00385
"UZB","Uzbekistan","Khorezm","admin1","Incidence Rate","Cases per Thousand",2016,0
"UZB","Uzbekistan","Khorezm","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"PER","Peru","La Libertad","admin1","Incidence Rate","Cases per Thousand",2016,0.0975127134785877
"PER","Peru","La Libertad","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.0159
"ECU","Ecuador","Carchi","admin1","Incidence Rate","Cases per Thousand",2016,0.027475501957332102
"ECU","Ecuador","Carchi","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.011899999999999999
"AFG","Afghanistan","Farah","admin1","Incidence Rate","Cases per Thousand",2016,2.3487580962591603
"AFG","Afghanistan","Farah","admin1","Mortality Rate","Deaths per 100 Thousand",2016,3.5599999999999996
"KOR","South Korea","Jeollanam-do","admin1","Incidence Rate","Cases per Thousand",2016,0
"KOR","South Korea","Jeollanam-do","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"DZA","Algeria","Tlemcen","admin1","Incidence Rate","Cases per Thousand",2016,0
"DZA","Algeria","Tlemcen","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"AFG","Afghanistan","Daykundi","admin1","Incidence Rate","Cases per Thousand",2016,0.847129168649792
"AFG","Afghanistan","Daykundi","admin1","Mortality Rate","Deaths per 100 Thousand",2016,1.25
"KHM","Cambodia","Koh Kong","admin1","Incidence Rate","Cases per Thousand",2016,1.42285614185821
"KHM","Cambodia","Koh Kong","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.43000000000000005
"NIC","Nicaragua","Matagalpa","admin1","Incidence Rate","Cases per Thousand",2016,0
"NIC","Nicaragua","Matagalpa","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"CAF","Central African Republic","Sangha-Mbaere","admin1","Incidence Rate","Cases per Thousand",2016,325.667694971368
"CAF","Central African Republic","Sangha-Mbaere","admin1","Mortality Rate","Deaths per 100 Thousand",2016,170.7107
"SDN","Sudan","Red Sea","admin1","Incidence Rate","Cases per Thousand",2016,21.2954538517174
"SDN","Sudan","Red Sea","admin1","Mortality Rate","Deaths per 100 Thousand",2016,2.4899999999999998
"THA","Thailand","Chiang Mai","admin1","Incidence Rate","Cases per Thousand",2016,0.00314769693896187
"THA","Thailand","Chiang Mai","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.000372
"COG","Congo","Brazzaville","admin1","Incidence Rate","Cases per Thousand",2016,157.078142832231
"COG","Congo","Brazzaville","admin1","Mortality Rate","Deaths per 100 Thousand",2016,19.3713
"ARG","Argentina","Catamarca","admin1","Incidence Rate","Cases per Thousand",2016,0
"ARG","Argentina","Catamarca","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"MEX","Mexico","Aguascalientes","admin1","Incidence Rate","Cases per Thousand",2016,0
"MEX","Mexico","Aguascalientes","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"NGA","Nigeria","Kano","admin1","Incidence Rate","Cases per Thousand",2016,305.273354375445
"NGA","Nigeria","Kano","admin1","Mortality Rate","Deaths per 100 Thousand",2016,169.1174
"ECU","Ecuador","Azuay","admin1","Incidence Rate","Cases per Thousand",2016,0.00016736455038766102
"ECU","Ecuador","Azuay","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.0000765
